Processor model	Implict	Type	Opcode	Mnemonic	2200 I INSTRUCTION TIME	2200 II INSTRUCTION TIME	5500 INSTRUCTION TIME
5500	111	0	071	MOUT	0	0	VAR
5500	0	0	065	STKS	0	0	VAR
5500	111	0	065	STKL	0	0	VAR
5500	0	0	055	REGS	0	0	13.2
5500	111	0	055	REGL	0	0	12.2
5500	0	0	042	CCS	0	0	VAR
5500	111	0	042	CCS B	0	0	VAR
5500	62	0	042	CCS C	0	0	VAR
5500	113	0	042	CCS D	0	0	VAR
5500	174	0	042	CCS E	0	0	VAR
5500	115	0	042	CCS H	0	0	VAR
5500	176	0	042	CCS L	0	0	VAR
5500	22	0	042	CCS X	0	0	VAR
5500	0	0	015	INCP HL	0	0	2.8
5500	117	0	015	INCP HL,2	0	0	3.8
5500	0	0	017	INCP HL,A	0	0	3
5500	62	0	015	INCP BC	0	0	3.6
5500	113	0	015	INCP BC,2	0	0	3.8
5500	62	0	017	INCP BC,A	0	0	3.8
5500	174	0	015	INCP DE	0	0	3.6
5500	115	0	015	INCP DE,2	0	0	3.8
5500	174	0	017	INCP DE,A	0	0	3.8
5500	22	0	015	INCP XA	0	0	3.6
5500	111	0	015	INCP XA,2	0	0	3.8
5500	22	0	017	INCP XA,A	0	0	3.8
5500	0	0	035	DECP HL	0	0	2.8
5500	117	0	035	DECP HL,2	0	0	3.8
5500	0	0	037	DECP HL,A	0	0	3
5500	62	0	035	DECP BC	0	0	3.6
5500	113	0	035	DECP BC,2	0	0	3.8
5500	62	0	037	DECP BC,A	0	0	3.8
5500	174	0	035	DECP DE	0	0	3.6
5500	115	0	035	DECP DE,2	0	0	3.8
5500	174	0	037	DECP DE,A	0	0	3.8
5500	22	0	035	DECP XA	0	0	3.6
5500	111	0	035	DECP XA,2	0	0	3.8
5500	22	0	037	DECP XA,A	0	0	3.8
5500	0	0	047	DL DE,HL	0	0	3.6
5500	111	0	047	DL BC,HL	0	0	5.4
5500	62	0	047	DL BC,BC	0	0	4.8
5500	113	0	047	DL BC,DE	0	0	5.2
5500	174	0	047	DL DE,BC	0	0	4.8
5500	115	0	047	DL DE,DE	0	0	5.2
5500	176	0	047	DL HL,BC	0	0	4.8
5500	117	0	047	DL HL,DE	0	0	5.2
5500	0	0	057	DL HL,HL	0	0	3.6
5500	0	0	027	DS DE,HL	0	0	3.6
5500	111	0	027	DS BC,HL	0	0	5.4
5500	113	0	027	DS BC,DE	0	0	5.2
5500	174	0	027	DS DE,BC	0	0	4.8
5500	176	0	027	DS HL,BC	0	0	4.8
5500	117	0	027	DS HL,DE	0	0	5.2
5500	0	1	105	PL A,	0	0	3
5500	0	1	114	PL B,	0	0	3
5500	0	1	124	PL C,	0	0	3
5500	0	1	134	PL D,	0	0	3
5500	0	1	144	PL E,	0	0	3
5500	0	1	154	PL H,	0	0	3
5500	0	1	164	PL L,	0	0	3
5500	0	1	107	PS A,	0	0	3
5500	0	1	116	PS B,	0	0	3
5500	0	1	126	PS C,	0	0	3
5500	0	1	136	PS D,	0	0	3
5500	0	1	146	PS E,	0	0	3
5500	0	1	156	PS H,	0	0	3
5500	0	1	166	PS L,	0	0	3
5500	111	1	124	DPL BC,	0	0	5
5500	113	1	144	DPL DE,	0	0	5
5500	115	1	164	DPL HL,	0	0	5
5500	111	1	126	DPS BC,	0	0	5
5500	113	1	146	DPS DE,	0	0	5
5500	115	1	166	DPS HL,	0	0	5
5500	0	4	005	INCI	0	0	7.4
5500	0	4	025	DECI	0	0	7.6
5500	111	6	005	INCI*	0	0	9.4
5500	111	6	025	DECI*	0	0	9.6
5500	62	4	005	LFII BC	0	0	7.4
5500	62	4	025	LFID BC	0	0	7.6
5500	113	6	005	LFII* BC	0	0	8.4
5500	113	6	025	LFID* BC	0	0	8.6
5500	174	4	005	LFII DE	0	0	7.4
5500	174	4	025	LFID DE	0	0	7.6
5500	115	6	005	LFII* DE	0	0	8.4
5500	115	6	025	LFID* DE	0	0	8.6
5500	176	4	005	LFII HL	0	0	7.4
5500	176	4	025	LFID HL	0	0	7.6
5500	117	6	005	LFII* HL	0	0	8.4
5500	117	6	025	LFID* HL	0	0	8.6
5500	0	0	072	BRL	0	0	1.2
5500	111	0	072	BRL B	0	0	2.2
5500	62	0	072	BRL C	0	0	2.2
5500	113	0	072	BRL D	0	0	2.2
5500	174	0	072	BRL E	0	0	2.2
5500	115	0	072	BRL H	0	0	2.2
5500	176	0	072	BRL L	0	0	2.2
5500	22	0	072	BRL X	0	0	2.2
5500	0	0	045	NOJ	0	0	1.40
5500	0	0	067	SC	0	0	1.80
5500	111	0	102	UR	0	0	2.00
5500	0	0	077	STL	0	0	VAR
5500	0	0	052	BP	0	0	2.20
5500	111	2	050	EJMP	0	0	4.40
5500	62	0	050	EUR	0	0	3.80
